poisson_rate_scale,nu_plus,nu_minus,top_k,spikes_per_sample,winners_unique,winner_HHI,energy_proxy_per_sample
0.004,0.001,-0.0005,0,0.2,0,0.0,493.0
0.004,0.001,-0.0005,3,0.2,0,0.0,493.0
0.004,0.001,-0.0005,5,0.2,0,0.0,493.0
0.004,0.001,-0.001,0,0.2,0,0.0,493.0
0.004,0.001,-0.001,3,0.2,0,0.0,493.0
0.004,0.001,-0.001,5,0.2,0,0.0,493.0
0.004,0.001,-0.002,0,0.2,0,0.0,493.0
0.004,0.001,-0.002,3,0.2,0,0.0,493.0
0.004,0.001,-0.002,5,0.2,0,0.0,493.0
0.004,0.002,-0.0005,0,0.2,0,0.0,493.0
0.004,0.002,-0.0005,3,0.2,0,0.0,493.0
0.004,0.002,-0.0005,5,0.2,0,0.0,493.0
0.004,0.002,-0.001,0,0.2,0,0.0,493.0
0.004,0.002,-0.001,3,0.2,0,0.0,493.0
0.004,0.002,-0.001,5,0.2,0,0.0,493.0
0.004,0.002,-0.002,0,0.2,0,0.0,493.0
0.004,0.002,-0.002,3,0.2,0,0.0,493.0
0.004,0.002,-0.002,5,0.2,0,0.0,493.0
0.004,0.003,-0.0005,0,0.2,0,0.0,493.0
0.004,0.003,-0.0005,3,0.2,0,0.0,493.0
0.004,0.003,-0.0005,5,0.2,0,0.0,493.0
0.004,0.003,-0.001,0,0.2,0,0.0,493.0
0.004,0.003,-0.001,3,0.2,0,0.0,493.0
0.004,0.003,-0.001,5,0.2,0,0.0,493.0
0.004,0.003,-0.002,0,0.195,0,0.0,492.995
0.004,0.003,-0.002,3,0.195,0,0.0,492.995
0.004,0.003,-0.002,5,0.195,0,0.0,492.995
0.006,0.001,-0.0005,0,18.11,0,0.0,710.435
0.006,0.001,-0.0005,3,18.11,15,0.06666666666666667,710.435
0.006,0.001,-0.0005,5,18.11,23,0.04639999999999998,710.435
0.006,0.001,-0.001,0,20.81,0,0.0,713.135
0.006,0.001,-0.001,3,20.81,17,0.06172839506172839,713.135
0.006,0.001,-0.001,5,20.81,27,0.04,713.135
0.006,0.001,-0.002,0,26.265,0,0.0,718.59
0.006,0.001,-0.002,3,26.265,12,0.09333333333333334,718.59
0.006,0.001,-0.002,5,26.265,20,0.05919999999999999,718.59
0.006,0.002,-0.0005,0,18.585,0,0.0,710.91
0.006,0.002,-0.0005,3,18.585,20,0.052154195011337855,710.91
0.006,0.002,-0.0005,5,18.585,28,0.0416326530612245,710.91
0.006,0.002,-0.001,0,22.665,0,0.0,714.99
0.006,0.002,-0.001,3,22.665,18,0.06122448979591836,714.99
0.006,0.002,-0.001,5,22.665,28,0.04000000000000001,714.99
0.006,0.002,-0.002,0,24.25,0,0.0,716.575
0.006,0.002,-0.002,3,24.25,17,0.06172839506172839,716.575
0.006,0.002,-0.002,5,24.25,25,0.044444444444444446,716.575
0.006,0.003,-0.0005,0,23.0,0,0.0,715.325
0.006,0.003,-0.0005,3,23.0,18,0.06122448979591836,715.325
0.006,0.003,-0.0005,5,23.0,28,0.04000000000000001,715.325
0.006,0.003,-0.001,0,24.61,0,0.0,716.935
0.006,0.003,-0.001,3,24.61,17,0.06172839506172839,716.935
0.006,0.003,-0.001,5,24.61,24,0.04666666666666666,716.935
0.006,0.003,-0.002,0,24.54,0,0.0,716.865
0.006,0.003,-0.002,3,24.54,15,0.06666666666666667,716.865
0.006,0.003,-0.002,5,24.54,21,0.055999999999999994,716.865
0.008,0.001,-0.0005,0,114.915,0,0.0,1003.915
0.008,0.001,-0.0005,3,114.915,32,0.03484549638395791,1003.915
0.008,0.001,-0.0005,5,114.915,46,0.027692307692307697,1003.915
0.008,0.001,-0.001,0,110.725,0,0.0,999.725
0.008,0.001,-0.001,3,110.725,32,0.035493827160493825,999.725
0.008,0.001,-0.001,5,110.725,46,0.027777777777777773,999.725
0.008,0.001,-0.002,0,102.01,0,0.0,991.01
0.008,0.001,-0.002,3,102.01,34,0.03287981859410431,991.01
0.008,0.001,-0.002,5,102.01,47,0.030204081632653052,991.01
0.008,0.002,-0.0005,0,110.685,0,0.0,999.685
0.008,0.002,-0.0005,3,110.685,31,0.03747534516765284,999.685
0.008,0.002,-0.0005,5,110.685,43,0.028639053254437875,999.685
0.008,0.002,-0.001,0,111.29,0,0.0,1000.29
0.008,0.002,-0.001,3,111.29,26,0.04444444444444445,1000.29
0.008,0.002,-0.001,5,111.29,36,0.03439999999999999,1000.29
0.008,0.002,-0.002,0,99.475,0,0.0,988.475
0.008,0.002,-0.002,3,99.475,27,0.04629629629629631,988.475
0.008,0.002,-0.002,5,99.475,40,0.030000000000000006,988.475
0.008,0.003,-0.0005,0,111.1,0,0.0,1000.1
0.008,0.003,-0.0005,3,111.1,30,0.04010519395134779,1000.1
0.008,0.003,-0.0005,5,111.1,43,0.03005917159763314,1000.1
0.008,0.003,-0.001,0,115.195,0,0.0,1004.195
0.008,0.003,-0.001,3,115.195,33,0.03401360544217687,1004.195
0.008,0.003,-0.001,5,115.195,47,0.028571428571428564,1004.195
0.008,0.003,-0.002,0,91.02,0,0.0,980.02
0.008,0.003,-0.002,3,91.02,25,0.04499540863177227,980.02
0.008,0.003,-0.002,5,91.02,39,0.03206611570247933,980.02
